molid,bglf4_c_s_1,bglf4_c_l_1,bglf4_c_w_1,bglf4_p_s_1,bglf4_p_l_1,bglf4_p_w_1,pknb_c_s_1,pknb_c_l_1,pknb_c_w_1,pknb_p_s_1,pknb_p_l_1,pknb_p_w_1,rop18_c_s_1,rop18_c_l_1,rop18_c_w_1,rop18_p_s_1,rop18_p_l_1,rop18_p_w_1
10113568,0.8691588785050001,206,-0.11615250076024194,0.8691588785050001,208,-0.44083284614012,0.8453608247419999,136,-0.020031593718254005,0.8425925925929999,109,-0.14438883215272363,0.8780487804880001,289,-0.23599294676545002,0.879120879121,163,-0.532038037132368
10125875,0.910891089109,323,-0.09367209028745603,0.885714285714,315,-0.44903999624610696,0.902173913043,313,-0.011797403938910003,0.56338028169,20,-0.28310629708859997,0.842857142857,218,-0.25026809289066004,0.483333333333,15,-0.95918633800198
10133732,0.8365384615379999,103,-0.13460031719250007,0.836363636364,256,-0.4856046476196661,0.9019607843140001,311,-0.013829337679722997,0.7978723404260001,78,-0.14060650834853294,0.820512820513,154,-0.25747633128262,0.725,84,-0.70288510570265
10158653,0.854368932039,158,-0.13132748287065002,0.816901408451,114,-0.5239488350134169,0.8404255319149999,115,-0.020609444812168004,0.859813084112,181,-0.11113700347045902,0.763888888889,56,-0.33031113851764005,0.9,307,-0.43471302740637996
10160775,0.8691588785050001,207,-0.12323606032308695,0.824324324324,150,-0.5457204509511719,0.8571428571430001,170,-0.021379957805883996,0.8425925925929999,111,-0.12641487906737003,0.820512820513,156,-0.28451651928736,0.85393258427,164,-0.5505175655022101
10171618,0.881188118812,249,-0.10758808614520901,0.8571428571430001,285,-0.47845404458890506,0.881720430108,261,-0.011728053089436998,0.670886075949,48,-0.217116218063404,0.833333333333,188,-0.2437207897057,0.676056338028,69,-0.7520407169866901
10173796,0.833333333333,91,-0.15136519294277906,informer,informer,informer,0.841584158416,122,-0.013453885162790998,informer,informer,informer,0.845238095238,219,-0.27498011210869,informer,informer,informer
10193464,0.875,226,-0.11130009823004601,0.875,331,-0.42419215747238204,0.92,336,-0.008943536143594,0.6375,38,-0.21988916764128605,0.871794871795,280,-0.21921069863941,0.657534246575,63,-0.73469925516439
10193482,0.8962264150939999,283,-0.10470020336306304,0.872727272727,297,-0.4677326402822181,0.909090909091,325,-0.010512629213268995,0.527027027027,10,-0.29574891931440006,0.8571428571430001,246,-0.24652871805474988,0.515151515152,24,-0.9475688657995202
10200651,0.8971962616820001,289,-0.10068865164966796,0.8938053097349999,299,-0.391359917726377,0.8877551020409999,279,-0.020831865580748003,0.8807339449539999,265,-0.10589323526058504,0.844155844156,213,-0.26174101906298997,0.746835443038,90,-0.60251584761577
10215776,0.885714285714,258,-0.114717593225628,0.872727272727,261,-0.526862593229137,0.875,236,-0.011883398051064998,0.486111111111,6,-0.32578817609058003,0.8266666666670001,170,-0.27729128220642996,0.444444444444,9,-1.09160477937481
10236195,0.849462365591,141,-0.12409889832030002,0.8367346938779999,272,-0.426119091463699,0.860465116279,187,-0.014336091161605998,0.62962962963,23,-0.183647628999372,0.8695652173909999,274,-0.24446880080874003,0.9,310,-0.44150775346980986
10272700,0.7961165048540001,28,-0.16489146126962695,0.7961165048540001,110,-0.575445462038271,0.826530612245,76,-0.019089832062805998,0.828282828283,136,-0.14707020429342393,0.827160493827,174,-0.27407044420359,0.8068181818179999,108,-0.6647197086583801
10286242,0.8989898989899999,294,-0.10264278878869804,0.888888888889,309,-0.45329984046849814,0.863636363636,197,-0.013156571477698,0.492537313433,8,-0.321599063212319,0.8405797101450001,210,-0.24738920208552992,0.448275862069,12,-1.01414155364078
10294883,0.916666666667,334,-0.08300408228370099,0.873563218391,239,-0.416098099692891,0.875,237,-0.013686113363859997,0.8279569892470001,134,-0.13277667295206694,0.4,4,-0.5442304031854799,0.819277108434,129,-0.54020760136018
10295475,0.894230769231,274,-0.09766928720513103,0.87037037037,312,-0.403676301782693,0.8842105263160001,271,-0.019697419589836,0.877358490566,253,-0.09183301464598498,0.868421052632,270,-0.24803291192018004,0.909090909091,295,-0.39600945937338006
10308522,0.894230769231,275,-0.11319019763351902,informer,informer,informer,0.9072164948450001,319,-0.012932284503063994,informer,informer,informer,0.837837837838,198,-0.26909626465756,informer,informer,informer
10321190,0.841121495327,118,-0.13150820705649002,0.81981981982,194,-0.46812337569579815,0.883495145631,270,-0.013391862470206,0.851485148515,218,-0.122995207880251,0.782051282051,72,-0.32259569525689,0.8709677419349999,306,-0.4590554313606102
10469531,0.8571428571430001,167,-0.12318228858050395,0.8217821782179999,206,-0.51017137257508,0.8804347826090001,253,-0.018267527475524997,0.8571428571430001,240,-0.11712030044758998,0.830985915493,184,-0.27344495684972,0.8928571428569999,218,-0.48827293805188027
10475737,0.826530612245,81,-0.140437256644647,0.826530612245,241,-0.477803774682523,0.8842105263160001,272,-0.013758534302671994,0.8241758241760001,124,-0.13218315181848797,0.788732394366,80,-0.3041419521755201,0.8571428571430001,236,-0.5215341830772899
11155941,0.8235294117649999,73,-0.17791743003997507,0.8235294117649999,198,-0.5599168165381879,0.81914893617,60,-0.015641406744466003,0.8210526315790001,116,-0.15829378699345698,0.578125,25,-0.4377831059386399,0.7976190476189999,99,-0.58182733460078
11163861,0.835051546392,101,-0.16613407140415404,informer,informer,informer,0.844444444444,132,-0.013812533976119,informer,informer,informer,0.7272727272730001,30,-0.39964604067116993,informer,informer,informer
11231939,0.804597701149,44,-0.20752859549449604,0.804597701149,145,-0.5049514508048482,0.8414634146340001,121,-0.014836243938797997,0.8705882352940001,292,-0.11777852863396297,0.369565217391,5,-0.53444501300561,0.881578947368,330,-0.45498780928638993
11233873,0.808080808081,48,-0.15655718303210003,0.762376237624,50,-0.6474173992363911,0.8877551020409999,280,-0.018114935264407998,0.8421052631579999,182,-0.12537238838664802,0.8875,311,-0.22332434039559007,0.8488372093019999,76,-0.6198274032625501
11244488,0.797752808989,29,-0.222026009652112,0.797752808989,115,-0.5554034158817209,0.80487804878,37,-0.016895591901735,0.821428571429,118,-0.14312575213259798,0.266666666667,1,-0.5994024289957,0.8421052631579999,213,-0.55611032731991
11247002,0.8666666666670001,195,-0.11394096020406695,0.833333333333,106,-0.5506369336535858,0.9,308,-0.015932915628708997,0.8556701030930001,238,-0.11194334712291698,0.888888888889,317,-0.21121136149977,0.8505747126440001,80,-0.5611123711831398
11269477,0.87037037037,215,-0.11583929421998201,0.837837837838,125,-0.5572151264290199,0.87,222,-0.018288596681086,0.8484848484849999,212,-0.122886494328471,0.865853658537,264,-0.24590066990420997,0.855555555556,92,-0.5639735594772197
11273032,0.814516129032,57,-0.154398938915046,0.814516129032,175,-0.5396232031107071,0.820512820513,64,-0.020346177137047,0.847328244275,125,-0.13085460030403698,0.854368932039,241,-0.24400695628868002,0.867256637168,154,-0.55314932127201
11281930,0.906542056075,313,-0.08779628612524396,0.79012345679,58,-0.507289745791116,0.863157894737,194,-0.016425465178090997,0.87962962963,257,-0.10887331352747702,0.8266666666670001,172,-0.28868218254256994,0.79012345679,43,-0.63535409451453
